message_sent,processing_start_time,processing_end_time,message_arrived,network_delay,processing_delay,overall_delay
1558295545.32,1558295545.63,1558295546.54,1558295546.63,0.400694131851,0.908704996109,1.30939912796
1558295543.3,1558295544.31,1558295546.89,1558295547.32,1.43265914917,2.58064699173,4.0133061409
1558295549.36,1558295549.69,1558295550.66,1558295550.69,0.374567985535,0.962599039078,1.33716702461
1558295551.38,1558295551.74,1558295552.7,1558295552.73,0.393881082535,0.95841884613,1.35229992867
1558295553.4,1558295553.7,1558295554.58,1558295554.67,0.385783910751,0.884679079056,1.27046298981
1558295555.42,1558295555.69,1558295556.6,1558295556.8,0.472780227661,0.906477928162,1.37925815582
1558295557.44,1558295557.69,1558295558.6,1558295558.63,0.285555839539,0.905333995819,1.19088983536
1558295559.46,1558295559.84,1558295560.78,1558295560.81,0.406075954437,0.939160108566,1.345236063
1558295561.48,1558295561.77,1558295562.66,1558295562.75,0.377155780792,0.885367155075,1.26252293587
1558295563.5,1558295563.82,1558295564.78,1558295564.81,0.348913908005,0.95361995697,1.30253386497
1558295565.52,1558295565.82,1558295566.7,1558295566.82,0.410172939301,0.883173942566,1.29334688187
1558295567.54,1558295567.79,1558295568.72,1558295568.78,0.316424131393,0.927968978882,1.24439311028
1558295569.56,1558295569.79,1558295570.7,1558295570.83,0.354969978333,0.911067008972,1.2660369873
1558295571.58,1558295571.88,1558295572.86,1558295572.89,0.338819980621,0.972582101822,1.31140208244
1558295573.6,1558295574.05,1558295574.94,1558295575.03,0.539916038513,0.887778043747,1.42769408226
1558295575.62,1558295576.07,1558295576.96,1558295577.05,0.537768125534,0.892143964767,1.4299120903
1558295577.64,1558295577.93,1558295578.82,1558295578.86,0.321933031082,0.892980098724,1.21491312981
1558295579.66,1558295579.97,1558295580.94,1558295580.97,0.344474077225,0.966679096222,1.31115317345
1558295581.68,1558295581.96,1558295582.94,1558295583.02,0.367146015167,0.973967790604,1.34111380577
1558295583.7,1558295584.06,1558295585.0,1558295585.09,0.452097177505,0.935851812363,1.38794898987
1558295585.72,1558295585.98,1558295586.94,1558295586.97,0.294013977051,0.954643011093,1.24865698814
1558295587.74,1558295588.16,1558295589.08,1558295589.12,0.457108736038,0.916900157928,1.37400889397
1558295589.76,1558295590.4,1558295591.38,1558295591.41,0.67698431015,0.974563837051,1.6515481472
1558295591.78,1558295592.32,1558295593.24,1558295593.28,0.571593999863,0.922312021255,1.49390602112
1558295593.8,1558295594.08,1558295594.98,1558295595.02,0.308888912201,0.90550994873,1.21439886093
1558295595.82,1558295596.06,1558295596.96,1558295597.05,0.32948589325,0.89696097374,1.22644686699
1558295597.84,1558295598.12,1558295599.08,1558295599.11,0.310251951218,0.961411952972,1.27166390419
1558295599.86,1558295600.24,1558295601.22,1558295601.26,0.415122270584,0.981865882874,1.39698815346
1558295603.9,1558295605.43,1558295607.92,1558295608.42,2.0289721489,2.49018192291,4.51915407181
1558295607.94,1558295608.22,1558295609.14,1558295609.21,0.3515188694,0.921293973923,1.27281284332
1558295609.96,1558295610.24,1558295611.16,1558295611.25,0.378021001816,0.916836977005,1.29485797882
1558295614.0,1558295614.31,1558295615.22,1558295615.26,0.34485912323,0.911432027817,1.25629115105
1558295543.3,1558295614.45,1558295615.46,1558295615.52,71.2074110508,1.01300001144,72.2204110622
1558295616.02,1558295616.3,1558295617.22,1558295617.33,0.379414319992,0.925979852676,1.30539417267
1558295618.04,1558295618.32,1558295619.26,1558295619.37,0.38775396347,0.94004201889,1.32779598236
1558295620.06,1558295620.33,1558295621.3,1558295621.41,0.377093076706,0.97151684761,1.34860992432
1558295622.08,1558295622.33,1558295623.26,1558295623.31,0.30190205574,0.929771900177,1.23167395592
1558295624.1,1558295624.41,1558295625.38,1558295625.42,0.361516952515,0.964507102966,1.32602405548
1558295626.12,1558295626.36,1558295627.3,1558295627.35,0.294657945633,0.939608097076,1.23426604271
1558295628.14,1558295628.37,1558295629.28,1558295629.33,0.282840967178,0.909861087799,1.19270205498
1558295630.16,1558295630.54,1558295631.54,1558295631.59,0.42869591713,0.997106075287,1.42580199242
1558295632.18,1558295632.49,1558295633.44,1558295633.55,0.414063692093,0.952092170715,1.36615586281
1558295634.2,1558295634.73,1558295635.72,1558295635.86,0.66302895546,0.994472980499,1.65750193596
1558295636.22,1558295636.55,1558295637.56,1558295637.61,0.378674268723,1.00834584236,1.38702011108
1558295638.24,1558295638.5,1558295639.5,1558295639.55,0.30068898201,1.00550103188,1.30619001389
