"processing_end_time","processing_start_time","message_arrived","diff","message_sent"
"1557687050.371828","1557687049.974327","1557687050.480882","0.7927629947662354","1557687049.688119"
"1557687051.353405","1557687051.006183","1557687051.384964","0.6798460483551025","1557687050.705118"
"1557687052.117981","1557687051.772396","1557687052.14854","0.4270761013031006","1557687051.721464"
"1557687053.176238","1557687052.783378","1557687053.20591","0.46884608268737793","1557687052.737064"
"1557687054.145666","1557687053.798964","1557687054.175315","0.42114686965942383","1557687053.754168"
"1557687055.170534","1557687054.823451","1557687055.199241","0.4274778366088867","1557687054.771763"
"1557687056.229646","1557687055.834848","1557687056.256555","0.46919798851013184","1557687055.787357"
"1557687057.207164","1557687056.862193","1557687057.235232","0.43078017234802246","1557687056.804452"
"1557687058.218169","1557687057.870681","1557687058.247043","0.4272317886352539","1557687057.819811"
"1557687059.275294","1557687058.881828","1557687059.304353","0.4679849147796631","1557687058.836368"
"1557687060.242557","1557687059.897613","1557687060.269998","0.416823148727417","1557687059.853175"
"1557687061.313894","1557687060.912591","1557687061.462111","0.5952119827270508","1557687060.866899"
"1557687062.29089","1557687061.937939","1557687062.326868","0.4434530735015869","1557687061.883415"
"1557687063.306787","1557687062.95863","1557687063.339785","0.43758201599121094","1557687062.902203"
"1557687064.361343","1557687063.964953","1557687064.389885","0.46980786323547363","1557687063.920077"
"1557687065.353344","1557687064.980788","1557687065.383415","0.4486689567565918","1557687064.934746"
"1557687066.337628","1557687065.994023","1557687066.369492","0.41838693618774414","1557687065.951105"
"1557687067.407231","1557687067.015072","1557687067.435197","0.4651350975036621","1557687066.970062"
"1557687068.379772","1557687068.034612","1557687068.408849","0.4207589626312256","1557687067.98809"
"1557687069.446723","1557687069.053402","1557687069.476724","0.470444917678833","1557687069.006279"
"1557687070.457353","1557687070.066641","1557687070.485495","0.4622230529785156","1557687070.023272"
"1557687071.439626","1557687071.093709","1557687071.470167","0.4288928508758545","1557687071.041274"
"1557687072.506214","1557687072.107425","1557687072.601788","0.5425190925598145","1557687072.059269"
"1557687073.694599","1557687073.295482","1557687073.725119","0.6488180160522461","1557687073.076301"
"1557687074.502754","1557687074.159338","1557687074.530722","0.4356968402862549","1557687074.095025"
"1557687075.509422","1557687075.166353","1557687075.538441","0.4252288341522217","1557687075.113212"
"1557687076.570288","1557687076.174932","1557687076.599433","0.4713008403778076","1557687076.128132"
"1557687077.542922","1557687077.190798","1557687077.573026","0.42743587493896484","1557687077.14559"
"1557687078.606441","1557687078.21126","1557687078.636425","0.47243499755859375","1557687078.16399"
"1557687079.631415","1557687079.233905","1557687079.661017","0.4791219234466553","1557687079.181895"
"1557687080.587042","1557687080.242408","1557687080.616121","0.41531896591186523","1557687080.200802"
"1557687081.671391","1557687081.273657","1557687081.700338","0.48345494270324707","1557687081.216883"
"1557687082.671294","1557687082.279108","1557687082.700931","0.4685499668121338","1557687082.232381"
"1557687083.640926","1557687083.287413","1557687083.78115","0.5321240425109863","1557687083.249026"
"1557687084.751173","1557687084.313024","1557687084.807931","0.5424480438232422","1557687084.265483"
"1557687085.720238","1557687085.328675","1557687085.750689","0.4687330722808838","1557687085.281956"
"1557687086.693822","1557687086.344881","1557687086.722697","0.4230029582977295","1557687086.299694"
"1557687087.767013","1557687087.369896","1557687087.799872","0.4806950092315674","1557687087.319177"
"1557687088.778815","1557687088.384915","1557687088.808594","0.47055697441101074","1557687088.338037"
"1557687089.750542","1557687089.40109","1557687089.779171","0.4221010208129883","1557687089.35707"
"1557687090.768926","1557687090.421422","1557687090.799317","0.4234919548034668","1557687090.375825"
"1557687091.838906","1557687091.440072","1557687091.868947","0.47559404373168945","1557687091.393353"
"1557687092.807783","1557687092.463165","1557687092.835687","0.4235389232635498","1557687092.412148"
"1557687093.830964","1557687093.480351","1557687093.860865","0.43149709701538086","1557687093.429368"
"1557687094.896433","1557687094.497618","1557687094.925306","0.4799990653991699","1557687094.445307"
"1557687095.859742","1557687095.516839","1557687095.890142","0.42769289016723633","1557687095.462449"
"1557687096.917898","1557687096.52319","1557687096.948832","0.4692411422729492","1557687096.479591"
"1557687097.961739","1557687097.567215","1557687097.989914","0.492110013961792","1557687097.497804"
"1557687098.905959","1557687098.560087","1557687098.933438","0.4161360263824463","1557687098.517302"
"1557687099.963406","1557687099.574641","1557687099.995439","0.46118617057800293","1557687099.534253"
"1557687100.991721","1557687100.596905","1557687101.02205","0.4704618453979492","1557687100.551588"
"1557687101.97246","1557687101.618185","1557687102.005965","0.43660593032836914","1557687101.569359"
"1557687102.973473","1557687102.629311","1557687103.00205","0.4167029857635498","1557687102.585347"
"1557687104.04862","1557687103.652665","1557687104.07808","0.47609901428222656","1557687103.601981"
"1557687105.011856","1557687104.666214","1557687105.083296","0.46108007431030273","1557687104.622216"
"1557687106.099357","1557687105.682156","1557687106.127508","0.4873490333557129","1557687105.640159"
"1557687107.049968","1557687106.705271","1557687107.079554","0.4222290515899658","1557687106.657325"
"1557687108.071147","1557687107.723361","1557687108.100698","0.4258909225463867","1557687107.674807"
"1557687109.196435","1557687108.781927","1557687109.222187","0.5296471118927002","1557687108.69254"
"1557687110.282596","1557687109.933323","1557687110.428116","0.7194221019744873","1557687109.708694"
"1557687111.355467","1557687110.957712","1557687111.481662","0.7557001113891602","1557687110.725962"
"1557687112.40681","1557687112.005393","1557687112.436393","0.6930201053619385","1557687111.743373"
"1557687113.156816","1557687112.807986","1557687113.186164","0.42451000213623047","1557687112.761654"
"1557687114.180584","1557687113.831643","1557687114.209079","0.42652201652526855","1557687113.782557"
"1557687115.266476","1557687114.847234","1557687115.295316","0.4946880340576172","1557687114.800628"
"1557687116.21234","1557687115.867306","1557687116.242853","0.42701292037963867","1557687115.81584"
"1557687117.234813","1557687116.88827","1557687117.263708","0.4297671318054199","1557687116.833941"
"1557687118.324962","1557687117.901995","1557687118.353389","0.5006630420684814","1557687117.852726"
"1557687119.273027","1557687118.927842","1557687119.302454","0.4310479164123535","1557687118.871406"
"1557687120.335256","1557687119.943526","1557687120.361305","0.4719998836517334","1557687119.889305"
"1557687121.328614","1557687120.954714","1557687121.355282","0.4491090774536133","1557687120.906173"
"1557687122.330734","1557687121.980058","1557687122.395259","0.47472596168518066","1557687121.920533"
"1557687123.398336","1557687122.986696","1557687123.424077","0.4895050525665283","1557687122.934572"
"1557687124.373181","1557687123.997978","1557687124.397778","0.44835495948791504","1557687123.949423"
"1557687125.373307","1557687125.008118","1557687125.398316","0.4330258369445801","1557687124.96529"
"1557687126.420164","1557687126.02342","1557687126.447139","0.4666590690612793","1557687125.98048"
"1557687127.397676","1557687127.038608","1557687127.421558","0.42644596099853516","1557687126.995112"
