processing_end_time,processing_start_time,message_arrived,message_sent
1557687117.234813,1557687116.88827,1557687117.263708,1557687116.833941
1557687118.324962,1557687117.901995,1557687118.353389,1557687117.852726
1557687119.273027,1557687118.927842,1557687119.302454,1557687118.871406
1557687120.335256,1557687119.943526,1557687120.361305,1557687119.889305
1557687121.328614,1557687120.954714,1557687121.355282,1557687120.906173
1557687122.330734,1557687121.980058,1557687122.395259,1557687121.920533
1557687123.398336,1557687122.986696,1557687123.424077,1557687122.934572
1557687124.373181,1557687123.997978,1557687124.397778,1557687123.949423
1557687125.373307,1557687125.008118,1557687125.398316,1557687124.96529
1557687126.420164,1557687126.02342,1557687126.447139,1557687125.98048
1557687127.397676,1557687127.038608,1557687127.421558,1557687126.995112
1557687128.401232,1557687128.054843,1557687128.432241,1557687128.009863
1557687129.46364,1557687129.064867,1557687129.491604,1557687129.023802
1557687130.453616,1557687130.089156,1557687130.478142,1557687130.037881
1557687131.453266,1557687131.107271,1557687131.482941,1557687131.055575
1557687132.520807,1557687132.119294,1557687132.720964,1557687132.073923
1557687133.660968,1557687133.299829,1557687133.689937,1557687133.090046
1557687134.505506,1557687134.162209,1557687134.534595,1557687134.108233
1557687135.559176,1557687135.198399,1557687135.591231,1557687135.125369
1557687136.551613,1557687136.186079,1557687136.579939,1557687136.144139
1557687137.596208,1557687137.202385,1557687137.625746,1557687137.160445
1557687138.584058,1557687138.219797,1557687138.615471,1557687138.177529
1557687139.584648,1557687139.238952,1557687139.613647,1557687139.195642
1557687140.646771,1557687140.254869,1557687140.678272,1557687140.212511
1557687141.620795,1557687141.276175,1557687141.649747,1557687141.228986
1557687142.689927,1557687142.287804,1557687142.721914,1557687142.247572
1557687143.70183,1557687143.304766,1557687143.792208,1557687143.263646
1557687144.690813,1557687144.326556,1557687144.72148,1557687144.28073
1557687145.690688,1557687145.339673,1557687145.719926,1557687145.298408
1557687146.774061,1557687146.360026,1557687146.801035,1557687146.313288
1557687147.726673,1557687147.3772,1557687147.75733,1557687147.33207
1557687148.797243,1557687148.397282,1557687148.831878,1557687148.348646
1557687149.820415,1557687149.418462,1557687149.849078,1557687149.365969
1557687150.792917,1557687150.428079,1557687150.822677,1557687150.379665
1557687151.837605,1557687151.438361,1557687151.865233,1557687151.39519
1557687152.864657,1557687152.4649,1557687152.898152,1557687152.417305
1557687153.845104,1557687153.474081,1557687153.886639,1557687153.432478
1557687154.93134,1557687154.505563,1557687154.957596,1557687154.448366
1557687155.863743,1557687155.512132,1557687155.892302,1557687155.463436
1557687156.879817,1557687156.532589,1557687157.003584,1557687156.480827
1557687157.935979,1557687157.546029,1557687157.96394,1557687157.496886
1557687158.90634,1557687158.559655,1557687158.935943,1557687158.514771
1557687159.945952,1557687159.578488,1557687159.976532,1557687159.532076
1557687160.995582,1557687160.605174,1557687161.025034,1557687160.549439
1557687161.956067,1557687161.610953,1557687161.992647,1557687161.564213
1557687162.972547,1557687162.627949,1557687162.999706,1557687162.580902
1557687164.052245,1557687163.649807,1557687164.084166,1557687163.598711
1557687165.005802,1557687164.658938,1557687165.034918,1557687164.615692
1557687166.071298,1557687165.681766,1557687166.108059,1557687165.63474
1557687167.092276,1557687166.701261,1557687167.120919,1557687166.650386
1557687168.093174,1557687167.721769,1557687168.161119,1557687167.66526
1557687169.091183,1557687168.744938,1557687169.12934,1557687168.678261
1557687170.339653,1557687169.928426,1557687170.507686,1557687169.694503
1557687171.214205,1557687170.870301,1557687171.372711,1557687170.712334
1557687172.295089,1557687171.900362,1557687172.424679,1557687171.730181
1557687173.331279,1557687172.937454,1557687173.359369,1557687172.749789
1557687174.169822,1557687173.82554,1557687174.200059,1557687173.766307
1557687175.270725,1557687174.831848,1557687175.302043,1557687174.783627
1557687176.23817,1557687175.846073,1557687176.27218,1557687175.799904
1557687177.221399,1557687176.875342,1557687177.252858,1557687176.817594
1557687178.313429,1557687177.896559,1557687178.346138,1557687177.835809
1557687179.285246,1557687178.910567,1557687179.318022,1557687178.853174
1557687180.267323,1557687179.922565,1557687180.29675,1557687179.871193
1557687181.348909,1557687180.937164,1557687181.37465,1557687180.891312
1557687182.300806,1557687181.950889,1557687182.337558,1557687181.908886
1557687183.321948,1557687182.972747,1557687183.351853,1557687182.925316
1557687184.390811,1557687183.9938,1557687184.420906,1557687183.941552
1557687185.352197,1557687185.006965,1557687185.382444,1557687184.960487
1557687186.370553,1557687186.023131,1557687186.399276,1557687185.977715
1557687187.438578,1557687187.040071,1557687187.510525,1557687186.993747
1557687188.403106,1557687188.056547,1557687188.429188,1557687188.011819
1557687189.471198,1557687189.073177,1557687189.499881,1557687189.027664
1557687190.494449,1557687190.094531,1557687190.524807,1557687190.045398
1557687191.485163,1557687191.114323,1557687191.515148,1557687191.063852
1557687192.533513,1557687192.135149,1557687192.609139,1557687192.08027
1557687193.701887,1557687193.293053,1557687193.731807,1557687193.097191
1557687194.540947,1557687194.176372,1557687194.57046,1557687194.113314
1557687195.523698,1557687195.174307,1557687195.552376,1557687195.131775
1557687196.622542,1557687196.204536,1557687196.651679,1557687196.148062
1557687197.554423,1557687197.209019,1557687197.584937,1557687197.16525
1557687198.620574,1557687198.226909,1557687198.680692,1557687198.182627
1557687199.648763,1557687199.250707,1557687199.682028,1557687199.200954
1557687200.606435,1557687200.261499,1557687200.634364,1557687200.217982
1557687201.702585,1557687201.277392,1557687201.73206,1557687201.23562
1557687202.697323,1557687202.298873,1557687202.728063,1557687202.253335
1557687203.659868,1557687203.309201,1557687203.689952,1557687203.267486
1557687204.719052,1557687204.32804,1557687204.75005,1557687204.285455
1557687205.760426,1557687205.360819,1557687205.791929,1557687205.302797
1557687206.75261,1557687206.365378,1557687206.783165,1557687206.317338
1557687207.779133,1557687207.378476,1557687207.808312,1557687207.334967
1557687208.785494,1557687208.395721,1557687208.815108,1557687208.350422
1557687209.755514,1557687209.410311,1557687209.790392,1557687209.366677
1557687210.847519,1557687210.439852,1557687210.959508,1557687210.386871
1557687211.853589,1557687211.46488,1557687211.981704,1557687211.404372
1557687212.822804,1557687212.472494,1557687212.851276,1557687212.421735
1557687213.881443,1557687213.482227,1557687213.909662,1557687213.439742
1557687214.939962,1557687214.519295,1557687214.967628,1557687214.459037
1557687215.870106,1557687215.524479,1557687215.899702,1557687215.475088
1557687216.969433,1557687216.54038,1557687217.002694,1557687216.49362
1557687217.905002,1557687217.560321,1557687217.934074,1557687217.51142
1557687218.927245,1557687218.581367,1557687218.957014,1557687218.53028
1557687219.999354,1557687219.600239,1557687220.031175,1557687219.54913
1557687220.96142,1557687220.611895,1557687220.990187,1557687220.567461
1557687222.003971,1557687221.640989,1557687222.032771,1557687221.587997
1557687223.048481,1557687222.654578,1557687223.144346,1557687222.603136
1557687224.037483,1557687223.692135,1557687224.174003,1557687223.621693
1557687225.08862,1557687224.686759,1557687225.116282,1557687224.640421
1557687226.050167,1557687225.701495,1557687226.078587,1557687225.656498
1557687227.062027,1557687226.715107,1557687227.092332,1557687226.670486
1557687228.143086,1557687227.726287,1557687228.171666,1557687227.685061
1557687229.14839,1557687228.750765,1557687229.180621,1557687228.702499
1557687230.139202,1557687229.767648,1557687230.163423,1557687229.717856
1557687231.289985,1557687230.87569,1557687231.452304,1557687230.736354
1557687232.362528,1557687231.97762,1557687232.512289,1557687231.755207
1557687233.243158,1557687232.875688,1557687233.371876,1557687232.773847
1557687234.333834,1557687233.94016,1557687234.362666,1557687233.789262
1557687235.248674,1557687234.851765,1557687235.287893,1557687234.808094
1557687236.238125,1557687235.872678,1557687236.267342,1557687235.825121
1557687237.240421,1557687236.897014,1557687237.27102,1557687236.843192
1557687238.319518,1557687237.905408,1557687238.345724,1557687237.861317
1557687239.286394,1557687238.914677,1557687239.312138,1557687238.875393
1557687240.282697,1557687239.933431,1557687240.310731,1557687239.890273
1557687241.352993,1557687240.955053,1557687241.37867,1557687240.905152
1557687242.335829,1557687241.960259,1557687242.359988,1557687241.91888
1557687243.330761,1557687242.973944,1557687243.359035,1557687242.933723
1557687244.384453,1557687243.989229,1557687244.448655,1557687243.947126
1557687245.389381,1557687245.021747,1557687245.424899,1557687244.962308
1557687246.381186,1557687246.033647,1557687246.499329,1557687245.97665
1557687247.443345,1557687247.036829,1557687247.468709,1557687246.992714
1557687248.423342,1557687248.050722,1557687248.449665,1557687248.007589
1557687249.436643,1557687249.070878,1557687249.467516,1557687249.022431
1557687250.485143,1557687250.077833,1557687250.510934,1557687250.035769
1557687251.456531,1557687251.092991,1557687251.4838,1557687251.051954
1557687252.457728,1557687252.113252,1557687252.483034,1557687252.064917
1557687253.686224,1557687253.304321,1557687253.712136,1557687253.079199
1557687254.517766,1557687254.153001,1557687254.544134,1557687254.094095
1557687255.500858,1557687255.154142,1557687255.528815,1557687255.108599
1557687256.571619,1557687256.168978,1557687256.597084,1557687256.122391
1557687257.53968,1557687257.177774,1557687257.566195,1557687257.136314
1557687258.592614,1557687258.200227,1557687258.619413,1557687258.150407
1557687259.59944,1557687259.207419,1557687259.626103,1557687259.16364
1557687260.590393,1557687260.218398,1557687260.61934,1557687260.178176
1557687261.605176,1557687261.237167,1557687261.635484,1557687261.192021
1557687262.639742,1557687262.244805,1557687262.66817,1557687262.20685
1557687263.620262,1557687263.268958,1557687263.645822,1557687263.221658
1557687264.630519,1557687264.282037,1557687264.657719,1557687264.235063
1557687265.684708,1557687265.292527,1557687265.710668,1557687265.253276
1557687266.661275,1557687266.305949,1557687266.688885,1557687266.268473
1557687267.718725,1557687267.32235,1557687267.744476,1557687267.28317
1557687268.738967,1557687268.342643,1557687268.767146,1557687268.298754
1557687269.70541,1557687269.35546,1557687269.733118,1557687269.313076
1557687270.721806,1557687270.370389,1557687270.758076,1557687270.326616
1557687271.785232,1557687271.381982,1557687271.811009,1557687271.341713
1557687272.750726,1557687272.396444,1557687272.777177,1557687272.354482
1557687273.753448,1557687273.409243,1557687273.831065,1557687273.36876
1557687274.849279,1557687274.455989,1557687274.876116,1557687274.3839
1557687275.794162,1557687275.446327,1557687275.83008,1557687275.398252
1557687276.880849,1557687276.461762,1557687276.907085,1557687276.412942
1557687277.843374,1557687277.468696,1557687277.871263,1557687277.426954
1557687278.833109,1557687278.483392,1557687278.860304,1557687278.441297
1557687279.911965,1557687279.496454,1557687279.937478,1557687279.45489
1557687280.898025,1557687280.514857,1557687280.926914,1557687280.468077
1557687281.872872,1557687281.522305,1557687281.898646,1557687281.483435
1557687282.941016,1557687282.546553,1557687282.969138,1557687282.498557
1557687283.906667,1557687283.556711,1557687283.932255,1557687283.513437
1557687284.91604,1557687284.565689,1557687284.995388,1557687284.525729
1557687285.99488,1557687285.590697,1557687286.020125,1557687285.54024
1557687286.949873,1557687286.60007,1557687286.978125,1557687286.554414
1557687287.962134,1557687287.613291,1557687287.988242,1557687287.56829
1557687289.018648,1557687288.620958,1557687289.046086,1557687288.583918
1557687289.984428,1557687289.636199,1557687290.011436,1557687289.597468
1557687291.098957,1557687290.651207,1557687291.126699,1557687290.611313
1557687292.060265,1557687291.694505,1557687292.121522,1557687291.625241
1557687293.384591,1557687292.988041,1557687293.522659,1557687292.640636
1557687294.219958,1557687293.869028,1557687294.248653,1557687293.655556
1557687295.252386,1557687294.907702,1557687295.277462,1557687294.669272
1557687296.082225,1557687295.728158,1557687296.107834,1557687295.683404
1557687297.149374,1557687296.75461,1557687297.177682,1557687296.694914
1557687298.103771,1557687297.752831,1557687298.128942,1557687297.707549
1557687299.110582,1557687298.758446,1557687299.137251,1557687298.721903
1557687300.174912,1557687299.771261,1557687300.199609,1557687299.73646
1557687301.18193,1557687300.799814,1557687301.208669,1557687300.751721
1557687302.188057,1557687301.816244,1557687302.215529,1557687301.767491
1557687303.222705,1557687302.831056,1557687303.248522,1557687302.784353
1557687304.194908,1557687303.843579,1557687304.219348,1557687303.797579
1557687305.200383,1557687304.849761,1557687305.270909,1557687304.813789
1557687306.274877,1557687305.882138,1557687306.30149,1557687305.826374
1557687307.230347,1557687306.878182,1557687307.25798,1557687306.839892
1557687308.27486,1557687307.898814,1557687308.301202,1557687307.85333
1557687309.303912,1557687308.907505,1557687309.329108,1557687308.866738
1557687310.273208,1557687309.925326,1557687310.300011,1557687309.882814
1557687311.33584,1557687310.939867,1557687311.360978,1557687310.897057
1557687312.356643,1557687311.957499,1557687312.38312,1557687311.909683
1557687313.527261,1557687313.153234,1557687313.554358,1557687312.921936
1557687314.335486,1557687313.990995,1557687314.36257,1557687313.935439
1557687315.401708,1557687315.00102,1557687315.426717,1557687314.948495
1557687316.348167,1557687316.002203,1557687316.373814,1557687315.958759
1557687317.418403,1557687317.021459,1557687317.443803,1557687316.97034
1557687318.419582,1557687318.026034,1557687318.445676,1557687317.984723
1557687319.382968,1557687319.03752,1557687319.40655,1557687318.996981
1557687320.394432,1557687320.051626,1557687320.41959,1557687320.011627
1557687321.46022,1557687321.066559,1557687321.487163,1557687321.026373
1557687322.44324,1557687322.090533,1557687322.472316,1557687322.039927
1557687323.479886,1557687323.095202,1557687323.605021,1557687323.054863
1557687324.514968,1557687324.110697,1557687324.541647,1557687324.066268
1557687325.462804,1557687325.113541,1557687325.48813,1557687325.076568
1557687326.469854,1557687326.12271,1557687326.498361,1557687326.085715
1557687327.572789,1557687327.153556,1557687327.60734,1557687327.096005
1557687328.504764,1557687328.158127,1557687328.530067,1557687328.112247
1557687329.512448,1557687329.168966,1557687329.538702,1557687329.127793
1557687330.572164,1557687330.177707,1557687330.596792,1557687330.142857
1557687331.549186,1557687331.201186,1557687331.574986,1557687331.155251
1557687332.64899,1557687332.22729,1557687332.676094,1557687332.167896
1557687333.5922,1557687333.245921,1557687333.614949,1557687333.182923
1557687334.597928,1557687334.251549,1557687334.622951,1557687334.196966
1557687335.641125,1557687335.247032,1557687335.783822,1557687335.211816
1557687336.62016,1557687336.271072,1557687336.647679,1557687336.225304
1557687337.623035,1557687337.278335,1557687337.649851,1557687337.238649
1557687338.7085,1557687338.29253,1557687338.733049,1557687338.253004
1557687339.693364,1557687339.304479,1557687339.720761,1557687339.266479
1557687340.712293,1557687340.334795,1557687340.739033,1557687340.281863
1557687341.764966,1557687341.343846,1557687341.787415,1557687341.296197
1557687342.769285,1557687342.406076,1557687342.79789,1557687342.309282
1557687343.73931,1557687343.370408,1557687343.765473,1557687343.323738
1557687344.732213,1557687344.38206,1557687344.758849,1557687344.338053
1557687345.774678,1557687345.399618,1557687345.800715,1557687345.354039
1557687346.80326,1557687346.407845,1557687346.829434,1557687346.367804
1557687347.77236,1557687347.421139,1557687347.79829,1557687347.382253
1557687348.849563,1557687348.439208,1557687348.877424,1557687348.395465
1557687349.7938,1557687349.447275,1557687349.820377,1557687349.409258
1557687350.825734,1557687350.47628,1557687350.851786,1557687350.423855
1557687351.909792,1557687351.488286,1557687351.934821,1557687351.438847
1557687352.928407,1557687352.578516,1557687353.053838,1557687352.454695
1557687354.17937,1557687353.739415,1557687354.241924,1557687353.470784
1557687355.130958,1557687354.77895,1557687355.271263,1557687354.485296
1557687356.146153,1557687355.800281,1557687356.172379,1557687355.499807
1557687356.935627,1557687356.56031,1557687356.962684,1557687356.513579
1557687357.980596,1557687357.566567,1557687358.00782,1557687357.526895
1557687358.940645,1557687358.589115,1557687358.968106,1557687358.54252
1557687359.951736,1557687359.59531,1557687359.979418,1557687359.556326
1557687361.014225,1557687360.613722,1557687361.041305,1557687360.570005
1557687361.97928,1557687361.630534,1557687362.00651,1557687361.585409
1557687363.024824,1557687362.655904,1557687363.049501,1557687362.599963
1557687364.059953,1557687363.660757,1557687364.089053,1557687363.615461
1557687365.033725,1557687364.667204,1557687365.059692,1557687364.629332
1557687366.082887,1557687365.686507,1557687366.198549,1557687365.644373
1557687367.09021,1557687366.695423,1557687367.117024,1557687366.658848
1557687368.067351,1557687367.72254,1557687368.092276,1557687367.672948
1557687369.150489,1557687368.729131,1557687369.179064,1557687368.687512
1557687370.090291,1557687369.741224,1557687370.115154,1557687369.702633
1557687371.099603,1557687370.755367,1557687371.124054,1557687370.715878
1557687372.1663,1557687371.766846,1557687372.191647,1557687371.729592
1557687373.325287,1557687372.898902,1557687373.367249,1557687372.744234
1557687374.160495,1557687373.811922,1557687374.187185,1557687373.754276
1557687375.180148,1557687374.812013,1557687375.212254,1557687374.769292
1557687376.230331,1557687375.837726,1557687376.25658,1557687375.783882
1557687377.221896,1557687376.853778,1557687377.368543,1557687376.79763
1557687378.219539,1557687377.849955,1557687378.260527,1557687377.811773
1557687379.280401,1557687378.874147,1557687379.306949,1557687378.827123
1557687380.226978,1557687379.878629,1557687380.254394,1557687379.841403
1557687381.237173,1557687380.892775,1557687381.264542,1557687380.85483
1557687382.309823,1557687381.915634,1557687382.335793,1557687381.870596
1557687383.268273,1557687382.924115,1557687383.297012,1557687382.885016
1557687384.39334,1557687383.936896,1557687384.416895,1557687383.899395
1557687385.352429,1557687384.959359,1557687385.378813,1557687384.912768
1557687386.315167,1557687385.97212,1557687386.340412,1557687385.928268
1557687387.427055,1557687386.979188,1557687387.526913,1557687386.940865
1557687388.37357,1557687387.998483,1557687388.410888,1557687387.953801
1557687389.369758,1557687389.018098,1557687389.396201,1557687388.96874
1557687390.427815,1557687390.022854,1557687390.454504,1557687389.985155
1557687391.380671,1557687391.034669,1557687391.406338,1557687390.997533
1557687392.410138,1557687392.056106,1557687392.435075,1557687392.009994
1557687393.477856,1557687393.060865,1557687393.521805,1557687393.022361
1557687394.45562,1557687394.078976,1557687394.480541,1557687394.034017
1557687395.440802,1557687395.091112,1557687395.466106,1557687395.049855
1557687396.522524,1557687396.106058,1557687396.546059,1557687396.063271
1557687397.463076,1557687397.116264,1557687397.488415,1557687397.076877
1557687398.588964,1557687398.149653,1557687398.662802,1557687398.090959
1557687399.530686,1557687399.164922,1557687399.584657,1557687399.106688
1557687400.510514,1557687400.163902,1557687400.5413,1557687400.120481
1557687401.57051,1557687401.180328,1557687401.596659,1557687401.136018
1557687402.559759,1557687402.197134,1557687402.584565,1557687402.149424
1557687403.57486,1557687403.205536,1557687403.601014,1557687403.161683
1557687404.619848,1557687404.227519,1557687404.644344,1557687404.174231
1557687405.597498,1557687405.231934,1557687405.620561,1557687405.188485
1557687406.6441,1557687406.245653,1557687406.672074,1557687406.202745
1557687407.656487,1557687407.263897,1557687407.682577,1557687407.215672
1557687408.634512,1557687408.268763,1557687408.655793,1557687408.230981
1557687409.679196,1557687409.290551,1557687409.709116,1557687409.242825
1557687410.693723,1557687410.302533,1557687410.718961,1557687410.252949
1557687411.669648,1557687411.30434,1557687411.766975,1557687411.266722
1557687412.682423,1557687412.318779,1557687412.708561,1557687412.280435
1557687413.741198,1557687413.329348,1557687413.769503,1557687413.291396
1557687414.763824,1557687414.361929,1557687414.787939,1557687414.304433
1557687415.744058,1557687415.360176,1557687415.837933,1557687415.318317
1557687416.781718,1557687416.389441,1557687416.8957,1557687416.332349
1557687417.810066,1557687417.443874,1557687417.94016,1557687417.345964
1557687418.774309,1557687418.409037,1557687418.803756,1557687418.359078
1557687419.817493,1557687419.425387,1557687419.842813,1557687419.372562
1557687420.794603,1557687420.431456,1557687420.820423,1557687420.385751
1557687421.791107,1557687421.445165,1557687421.822895,1557687421.399874
1557687422.854284,1557687422.460309,1557687422.881454,1557687422.413799
1557687423.839838,1557687423.470224,1557687423.866499,1557687423.428204
1557687424.831409,1557687424.487042,1557687424.864584,1557687424.441753
1557687425.904431,1557687425.509811,1557687425.932229,1557687425.456306
1557687426.885212,1557687426.517162,1557687426.91169,1557687426.472241
1557687427.888296,1557687427.525176,1557687427.912585,1557687427.486287
1557687428.9657,1557687428.566857,1557687429.068638,1557687428.498994
1557687429.930726,1557687429.557142,1557687429.955753,1557687429.513281
1557687430.933057,1557687430.568639,1557687430.963231,1557687430.529152
1557687431.993728,1557687431.590019,1557687432.02021,1557687431.545779
1557687433.00682,1557687432.635608,1557687433.032963,1557687432.558761
1557687433.976046,1557687433.615204,1557687434.00513,1557687433.570967
1557687435.02754,1557687434.627739,1557687435.054809,1557687434.585094
1557687436.015779,1557687435.64629,1557687436.041013,1557687435.601632
1557687437.017006,1557687436.666431,1557687437.042561,1557687436.616272
1557687438.081692,1557687437.680477,1557687438.110346,1557687437.629563
1557687439.068339,1557687438.696183,1557687439.094927,1557687438.643701
1557687440.140206,1557687439.710209,1557687440.166061,1557687439.658842
1557687441.082517,1557687440.715069,1557687441.108417,1557687440.67315
1557687442.101206,1557687441.735235,1557687442.126388,1557687441.686852
1557687443.139635,1557687442.749368,1557687443.166135,1557687442.701656
1557687444.122184,1557687443.769057,1557687444.148533,1557687443.716362
1557687445.16766,1557687444.793739,1557687445.270483,1557687444.729631
1557687446.161265,1557687445.809301,1557687446.275294,1557687445.741516
1557687447.148335,1557687446.797875,1557687447.175316,1557687446.75333
1557687448.165876,1557687447.814136,1557687448.191341,1557687447.766341
1557687449.221654,1557687448.823836,1557687449.24729,1557687448.780098
1557687450.192563,1557687449.846133,1557687450.221328,1557687449.793252
1557687451.204483,1557687450.854528,1557687451.230617,1557687450.808357
1557687452.272288,1557687451.861832,1557687452.298422,1557687451.820857
1557687453.23413,1557687452.884396,1557687453.261117,1557687452.835063
1557687454.237932,1557687453.888229,1557687454.263481,1557687453.846996
1557687455.316126,1557687454.916916,1557687455.340962,1557687454.859482
1557687456.271753,1557687455.919682,1557687456.297703,1557687455.875362
1557687457.333584,1557687456.934508,1557687457.358707,1557687456.887295
1557687458.340124,1557687457.945334,1557687458.364732,1557687457.899643
1557687459.303608,1557687458.957291,1557687459.331006,1557687458.913122
1557687460.374678,1557687459.97195,1557687460.404022,1557687459.926829
1557687461.354519,1557687460.983779,1557687461.382666,1557687460.938646
1557687462.340109,1557687461.993646,1557687462.365977,1557687461.950271
1557687463.404842,1557687463.004462,1557687463.432308,1557687462.963203
