,message_arrived,message_sent,processing_start_time,processing_end_time,processing_delay,network_delay,overall_delay
0,1557911225.2270064,1557911223.7843273,1557911225.247078,1557911225.635538,0.3884601593017578,1.4426791667938232,1.831139326095581
1,1557911225.2452352,1557911224.7908175,1557911225.670925,1557911226.052618,0.38169312477111816,0.45441770553588867,0.8361108303070068
2,1557911225.8689413,1557911225.8029509,1557911226.087179,1557911226.419832,0.3326530456542969,0.06599044799804688,0.39864349365234375
3,1557911226.916519,1557911226.8155775,1557911226.955055,1557911227.301875,0.3468201160430908,0.10094141960144043,0.44776153564453125
4,1557911227.927674,1557911227.8212914,1557911227.968329,1557911228.385656,0.4173271656036377,0.10638260841369629,0.523709774017334
5,1557911228.9511573,1557911228.834974,1557911228.989017,1557911229.3628,0.3737828731536865,0.11618328094482422,0.48996615409851074
6,1557911229.956728,1557911229.8463233,1557911229.99645,1557911230.3332179,0.33676791191101074,0.11040472984313965,0.4471726417541504
7,1557911230.9570336,1557911230.857699,1557911230.997282,1557911231.382537,0.3852548599243164,0.099334716796875,0.4845895767211914
8,1557911231.9664686,1557911231.8693562,1557911232.0050118,1557911232.4042768,0.3992650508880615,0.09711241722106934,0.49637746810913086
9,1557911232.9854748,1557911232.8821585,1557911233.024266,1557911233.405828,0.3815619945526123,0.1033163070678711,0.4848783016204834
10,1557911234.0190766,1557911233.8953044,1557911234.0549269,1557911234.434884,0.3799571990966797,0.12377214431762695,0.5037293434143066
11,1557911235.0036345,1557911234.9067824,1557911235.0432901,1557911235.377024,0.33373379707336426,0.09685206413269043,0.4305858612060547
12,1557911236.0626452,1557911235.9182832,1557911236.01178,1557911236.349251,0.33747100830078125,0.1443619728088379,0.48183298110961914
13,1557911237.0419235,1557911236.9302113,1557911237.139168,1557911237.5128381,0.3736701011657715,0.11171221733093262,0.4853823184967041
14,1557911238.2713888,1557911237.942652,1557911238.30912,1557911238.645682,0.3365621566772461,0.3287367820739746,0.6652989387512207
15,1557911239.0746946,1557911238.9549685,1557911239.114434,1557911239.516785,0.40235090255737305,0.11972618103027344,0.5220770835876465
16,1557911240.0145993,1557911239.9653618,1557911240.10941,1557911240.508371,0.39896106719970703,0.04923748970031738,0.4481985569000244
17,1557911241.1409185,1557911240.976716,1557911241.177602,1557911241.562283,0.38468098640441895,0.16420245170593262,0.5488834381103516
18,1557911242.1087327,1557911241.9880304,1557911242.147567,1557911242.484447,0.3368799686431885,0.12070226669311523,0.4575822353363037
19,1557911243.10153,1557911242.9995522,1557911243.1414769,1557911243.474908,0.3334312438964844,0.10197782516479492,0.4354090690612793
20,1557911244.120034,1557911244.0115006,1557911244.160774,1557911244.4977741,0.33700013160705566,0.10853338241577148,0.44553351402282715
21,1557911245.1387641,1557911245.0239265,1557911245.175966,1557911245.613548,0.43758201599121094,0.114837646484375,0.5524196624755859
22,1557911246.1490195,1557911246.035396,1557911246.186576,1557911246.5230598,0.3364839553833008,0.11362338066101074,0.4501073360443115
23,1557911247.0952125,1557911247.0476072,1557911247.135134,1557911247.470268,0.33513402938842773,0.047605276107788086,0.3827393054962158
24,1557911248.1496356,1557911248.0530312,1557911248.188468,1557911248.580618,0.3921499252319336,0.0966043472290039,0.4887542724609375
25,1557911249.1324124,1557911249.0655284,1557911249.2275698,1557911249.565449,0.3378791809082031,0.06688404083251953,0.40476322174072266
