,processing_end_time,processing_start_time,message_arrived,message_sent,processing_delay,network_delay,overall_delay
0,1557687022.675237,1557687022.292728,1557687022.704613,1557687022.2191448,0.3825089931488037,0.10295915603637695,0.48546814918518066
1,1557687023.644069,1557687023.299984,1557687023.674398,1557687023.238204,0.3440849781036377,0.09210896492004395,0.43619394302368164
2,1557687024.699191,1557687024.305295,1557687024.730084,1557687024.256185,0.39389610290527344,0.0800027847290039,0.47389888763427734
3,1557687025.670275,1557687025.318009,1557687025.6993551,1557687025.272318,0.3522660732269287,0.07477116584777832,0.42703723907470703
4,1557687026.69895,1557687026.3524551,1557687026.727507,1557687026.2896,0.3464949131011963,0.09141230583190918,0.43790721893310547
5,1557687027.781032,1557687027.376022,1557687027.809622,1557687027.310573,0.4050099849700928,0.0940389633178711,0.49904894828796387
6,1557687028.742934,1557687028.371737,1557687028.770719,1557687028.329816,0.371196985244751,0.06970596313476562,0.4409029483795166
7,1557687029.766234,1557687029.388485,1557687029.796949,1557687029.345018,0.377748966217041,0.07418203353881836,0.4519309997558594
8,1557687030.7998269,1557687030.408412,1557687030.8271868,1557687030.362374,0.3914148807525635,0.07339787483215332,0.4648127555847168
9,1557687031.792337,1557687031.443073,1557687031.819566,1557687031.380637,0.34926390647888184,0.08966517448425293,0.43892908096313477
10,1557687032.791064,1557687032.446217,1557687032.890831,1557687032.397165,0.3448469638824463,0.1488189697265625,0.4936659336090088
11,1557687033.854839,1557687033.4574368,1557687033.882691,1557687033.4138448,0.397402286529541,0.07144379615783691,0.46884608268737793
12,1557687034.830406,1557687034.483078,1557687034.860909,1557687034.4336631,0.34732794761657715,0.07991790771484375,0.4272458553314209
13,1557687035.8972769,1557687035.50536,1557687035.929967,1557687035.4531279,0.39191699028015137,0.08492207527160645,0.4768390655517578
14,1557687036.9073071,1557687036.514883,1557687036.9361439,1557687036.469761,0.3924241065979004,0.0739588737487793,0.4663829803466797
15,1557687037.881931,1557687037.532521,1557687037.909643,1557687037.487258,0.3494100570678711,0.07297492027282715,0.42238497734069824
16,1557687038.941125,1557687038.546638,1557687038.969878,1557687038.503129,0.3944869041442871,0.07226204872131348,0.4667489528656006
17,1557687039.93907,1557687039.57051,1557687039.969717,1557687039.518969,0.3685600757598877,0.08218789100646973,0.4507479667663574
18,1557687040.927226,1557687040.58491,1557687040.957587,1557687040.535869,0.3423161506652832,0.07940196990966797,0.42171812057495117
19,1557687041.998122,1557687041.596915,1557687042.0290759,1557687041.5524411,0.40120697021484375,0.07542777061462402,0.4766347408294678
20,1557687042.9587538,1557687042.612103,1557687042.98811,1557687042.567223,0.3466508388519287,0.07423615455627441,0.4208869934082031
21,1557687043.992645,1557687043.6446471,1557687044.051296,1557687043.5842311,0.34799790382385254,0.11906695365905762,0.46706485748291016
22,1557687045.0530539,1557687044.65769,1557687045.181873,1557687044.601443,0.39536380767822266,0.18506622314453125,0.5804300308227539
23,1557687046.022153,1557687045.667701,1557687046.049476,1557687045.6185231,0.35445189476013184,0.07650089263916016,0.430952787399292
24,1557687047.033962,1557687046.690993,1557687047.062949,1557687046.636144,0.3429689407348633,0.08383607864379883,0.4268050193786621
