"diff","message_arrived","message_sent"
"1.4426791667938232","1557911225.2270064","1557911223.7843273"
"0.45441746711730957","1557911225.2452352","1557911224.7908177"
"0.06599020957946777","1557911225.8689413","1557911225.802951"
"0.10094118118286133","1557911226.916519","1557911226.8155777"
"0.10638260841369629","1557911227.927674","1557911227.8212914"
"0.11618328094482422","1557911228.9511573","1557911228.834974"
"0.11040472984313965","1557911229.956728","1557911229.8463233"
"0.0993344783782959","1557911230.9570334","1557911230.857699"
"0.09711241722106934","1557911231.9664683","1557911231.869356"
"0.1033165454864502","1557911232.9854748","1557911232.8821583"
"0.12377190589904785","1557911234.0190763","1557911233.8953044"
"0.09685182571411133","1557911235.0036345","1557911234.9067826"
"0.1443619728088379","1557911236.0626452","1557911235.9182832"
"0.11171221733093262","1557911237.0419235","1557911236.9302113"
"0.3287367820739746","1557911238.2713888","1557911237.942652"
"0.11972618103027344","1557911239.0746946","1557911238.9549685"
"0.04923748970031738","1557911240.0145996","1557911239.965362"
"0.16420245170593262","1557911241.1409185","1557911240.976716"
"0.12070226669311523","1557911242.1087327","1557911241.9880304"
"0.10197782516479492","1557911243.10153","1557911242.9995522"
"0.10853338241577148","1557911244.120034","1557911244.0115006"
"0.114837646484375","1557911245.138764","1557911245.0239263"
"0.11362361907958984","1557911246.1490197","1557911246.035396"
"0.047605276107788086","1557911247.0952125","1557911247.0476072"
"0.0966043472290039","1557911248.1496356","1557911248.0530312"
"0.06688427925109863","1557911249.1324124","1557911249.0655282"
"0.13586831092834473","1557911250.213802","1557911250.0779338"
"0.10265588760375977","1557911251.1918046","1557911251.0891488"
"0.31947875022888184","1557911252.4210465","1557911252.1015677"
"0.053542375564575195","1557911253.166747","1557911253.1132047"
"0.10042119026184082","1557911254.225821","1557911254.1253998"
"0.12480282783508301","1557911255.2618012","1557911255.1369984"
"0.1103067398071289","1557911256.2619817","1557911256.151675"
"0.10138392448425293","1557911257.265889","1557911257.164505"
"0.11957478523254395","1557911258.2968779","1557911258.177303"
"0.1099545955657959","1557911259.2986593","1557911259.1887047"
"0.06294941902160645","1557911260.262032","1557911260.1990826"
"0.0997169017791748","1557911261.3097103","1557911261.2099934"
"0.0565648078918457","1557911262.279928","1557911262.2233632"
"0.1031954288482666","1557911263.3398602","1557911263.2366648"
"0.10779070854187012","1557911264.356761","1557911264.2489703"
"0.10718441009521484","1557911265.3693945","1557911265.2622101"
"0.31506848335266113","1557911266.5902753","1557911266.2752068"
"0.10656380653381348","1557911267.3932261","1557911267.2866623"
"0.05424070358276367","1557911268.352026","1557911268.2977853"
"0.1121530532836914","1557911269.421042","1557911269.308889"
"0.10643744468688965","1557911270.426083","1557911270.3196456"
"0.1288769245147705","1557911271.4596057","1557911271.3307288"
"0.34868621826171875","1557911272.6906645","1557911272.3419783"
"0.1190481185913086","1557911273.465629","1557911273.346581"
"0.1767885684967041","1557911274.534768","1557911274.3579795"
"0.12631916999816895","1557911275.4964712","1557911275.370152"
"0.20020461082458496","1557911276.5823467","1557911276.382142"
"0.37197446823120117","1557911277.765602","1557911277.3936276"
"0.22262835502624512","1557911278.6287322","1557911278.4061038"
"0.05607008934020996","1557911279.4731426","1557911279.4170725"
"0.3301241397857666","1557911280.7595274","1557911280.4294033"
"0.05372738838195801","1557911281.495337","1557911281.4416096"
"0.09997010231018066","1557911282.5544145","1557911282.4544444"
"0.10583925247192383","1557911283.5719328","1557911283.4660935"
"0.05161857604980469","1557911284.528761","1557911284.4771423"
"0.15964555740356445","1557911285.650845","1557911285.4911995"
"0.10132670402526855","1557911286.6061826","1557911286.5048559"
"0.06643867492675781","1557911287.5830066","1557911287.516568"
"0.09696221351623535","1557911288.625085","1557911288.528123"
"0.09995794296264648","1557911289.6385548","1557911289.5385969"
"0.10576200485229492","1557911290.6564994","1557911290.5507374"
"0.05222129821777344","1557911291.6158593","1557911291.563638"
"0.16494464874267578","1557911292.7413077","1557911292.576363"
"0.055633544921875","1557911293.6434278","1557911293.5877943"
"0.3251194953918457","1557911294.9250388","1557911294.5999193"
"0.19959759712219238","1557911295.8107233","1557911295.6111257"
"0.13817691802978516","1557911296.761453","1557911296.623276"
"0.15301895141601562","1557911297.7875636","1557911297.6345446"
"0.0551760196685791","1557911298.7023735","1557911298.6471975"
"0.08756899833679199","1557911299.7465243","1557911299.6589553"
"0.17354464530944824","1557911300.844647","1557911300.6711023"
"0.10556721687316895","1557911301.787807","1557911301.6822398"
"0.0541684627532959","1557911302.748417","1557911302.6942484"
"0.14647293090820312","1557911303.8526065","1557911303.7061336"
"0.07675766944885254","1557911304.7937052","1557911304.7169476"
"0.17151212692260742","1557911305.900936","1557911305.7294238"
"0.10350537300109863","1557911306.8446605","1557911306.7411551"
"0.12744593620300293","1557911307.8821836","1557911307.7547376"
"0.326077938079834","1557911309.0927355","1557911308.7666576"
"0.1444084644317627","1557911309.9233644","1557911309.778956"
"0.05924487113952637","1557911310.8498929","1557911310.790648"
"0.11274504661560059","1557911311.9141996","1557911311.8014545"
"0.11399412155151367","1557911312.9292927","1557911312.8152986"
"0.0728306770324707","1557911313.902278","1557911313.8294473"
"0.09642338752746582","1557911314.9388845","1557911314.842461"
"0.3203465938568115","1557911316.1753225","1557911315.854976"
"0.12496042251586914","1557911316.9912646","1557911316.8663042"
"0.06820821762084961","1557911317.9458277","1557911317.8776195"
"0.12378334999084473","1557911319.01352","1557911318.8897367"
"0.11321306228637695","1557911320.0149126","1557911319.9016995"
"0.12801599502563477","1557911321.0409172","1557911320.9129012"
"0.12225914001464844","1557911322.0480213","1557911321.9257622"
"0.16754388809204102","1557911323.105429","1557911322.937885"
"0.07473182678222656","1557911324.024461","1557911323.9497292"
"0.09478378295898438","1557911325.0565023","1557911324.9617186"
"0.11910367012023926","1557911326.0930614","1557911325.9739578"
"0.1375446319580078","1557911327.124437","1557911326.9868925"
"0.07240176200866699","1557911328.0715969","1557911327.999195"
"0.34529685974121094","1557911329.3584864","1557911329.0131896"
"0.06269645690917969","1557911330.0885508","1557911330.0258543"
"0.10726475715637207","1557911331.1445389","1557911331.0372741"
"0.1094050407409668","1557911332.157829","1557911332.048424"
